Komentar,Timestamp,Platform,Sentimen
"he cried for him career, not crying regret for Kim Saeron",2025-01-04 00:00:00,Tiktok,negatif
"plis deh dia nangis karena karir nya hancur, bukan karena Kim saeron",2025-01-04 00:00:00,Tiktok,negatif
"inget ya gays yg speak up bukan cuma keluarga mendiang Kim saeron, tapi juga kakanya mendiang Sulli yang di mana Sulli sendiri dia meninggal Uda lama,tiba² ikut speak up,jelas itu bukan tanpa alasan.",2025-01-04 00:00:00,Tiktok,netral
JUSTICE FOR KIM SOO HYUN ??????,2025-01-04 00:00:00,Tiktok,netral
akting nangisnya kayak di Queen of tears,2025-01-04 00:00:00,Tiktok,netral
"kata gua sihh udah, jngn sampe kim sohyun nyusul kim saeron",2025-01-04 00:00:00,Tiktok,positif
"drakor ""king of tears""",1931-03-01 00:00:00,Tiktok,netral
"KSH itu salah satu aktor yg dikenal dgn kemampuan nangisnnya tuh bisa mendalami peran dan dapet bgt, terbukti di bbrp drama nya. Jadi gausa heran aja ini jago bgt acting nangisnya",2025-03-01 00:00:00,Tiktok,positif
@Ayangku:Catet: dia bukan nangisin alm kim saeron ya. Dia nangisin karirnya yg hancur.,2025-01-04 00:00:00,Tiktok,negatif
aku dukung kim soo hyun,2025-01-01 00:00:00,Tiktok,positif
udahlah susul sana Kim saeron??,2025-02-04 00:00:00,Tiktok,negatif
pkknya dia hrus nyusulin kim saeron,2025-01-04 00:00:00,Tiktok,negatif
i support Kim Soo hyun ??,2025-03-04 00:00:00,Tiktok,netral
walaupun dia terbukti salah gua g tega liat dia kalo di kemudian hari dia nyusul kim saeron,2025-01-01 00:00:00,Tiktok,positif
Maaf Kim Soo Hyun saya sudah tidak percaya lagi sama laki2 yang menangis,2025-03-01 00:00:00,Tiktok,netral
"please stop bashing him, I think he deserve to save his career cuz he is a good actor, he and Kim saeron had a past,but it's a past not his fault,I guess it's the society around her not him",2025-07-04 00:00:00,Tiktok,positif
king of tears ??,2025-01-04 00:00:00,Tiktok,netral
support kim soo hyun,3d ago,Tiktok,positif
King of tears and drama??,2025-05-04 00:00:00,Tiktok,netral
"apenihh..
deleted scene of queen of tears yah?????????",2025-01-04 00:00:00,Tiktok,netral
"selama ini kemana bang, adakah hari2mu mengenang mendiang dan menangis tersedu-sedu seperti itu dan mengingat kim sae ron?",2025-02-04 00:00:00,Tiktok,netral
"If only ,there's a footage of Kim Saeron crying after her hardworks, read a message about her 700million debt, and no one beside her ???? it'll be another heartbreak scene for me after WLGYT",2025-01-04 00:00:00,Tiktok,netral
justice for kim soo hyun??????,2025-03-04 00:00:00,Tiktok,netral
wow bnr kah dia benar benar menangis? lalu saat kebumikan nya Kim saeron knp dia melakukan pesta? dan tidak mungkin dia tidak tau tentang meninggal nya seseorang itu? dan acara kebumikan nya seseorang itu haha,2025-01-01 00:00:00,Tiktok,negatif
"@-????????:plis deh dia nangis karena karir nya hancur, bukan karena Kim saeron",2025-04-01 00:00:00,Tiktok,negatif
"he cried for him career, not crying regret for Kim Saeron",2025-07-04 00:00:00,Tiktok,negatif
